Title,IMDb Rating,Your Rating,Year,Metascore,RT Audience,RT Critics
Lion,8,8,2016,69,91,84
Rogue One,7.8,8,2016,65,86,84
Solo: A Star Wars Story,6.9,6,2018,62,64,69
Kill Bill: Vol. 2,8,8,2004,83,89,84
La La Land,8,8,2016,94,81,90
Capote,7.3,6,2005,88,82,89
The Nice Guys,7.4,9,2016,70,79,91
Saul fia,7.5,8,2015,91,79,96
Casino Royale,8,8,2006,80,89,94
Before Sunset,8.1,9,2004,90,91,94
3:10 to Yuma,7.7,7,2007,76,86,89
Pirates of the Caribbean: Dead Man's Chest,7.3,7,2006,53,72,53
Mænd & høns,6.7,7,2015,64,72,83
Baby Driver,7.6,9,2017,86,86,92
Guardians of the Galaxy Vol. 2,7.6,7,2017,67,87,85
Hotel Rwanda,8.1,9,2004,79,94,91
Wedding Crashers,6.9,5,2005,64,70,76
Bridge to Terabithia,7.1,10,2007,74,70,85
Ah-ga-ssi,8.1,7,2016,84,91,95
Sin City,8,8,2005,74,78,77
Manchester by the Sea,7.8,8,2016,96,78,96
Swiss Army Man,7,7,2016,64,72,72
Toni Erdmann,7.4,7,2016,93,73,93
Das Leben der Anderen,8.4,9,2006,89,96,92
Million Dollar Baby,8.1,7,2004,86,90,90
The Departed,8.5,9,2006,85,94,90
En man som heter Ove,7.7,8,2015,70,87,91
Sweeney Todd: The Demon Barber of Fleet Street,7.3,7,2007,83,81,86
Flaskepost fra P,7,8,2016,,66,100
Fantastic Beasts: The Crimes of Grindelwald,6.6,4,2018,52,54,36
Spider-Man 3,6.2,6,2007,59,51,63
Florence Foster Jenkins,6.8,7,2016,71,68,87
The Fountain,7.2,6,2006,51,74,52
Talladega Nights: The Ballad of Ricky Bobby,6.6,7,2006,66,73,71
Captain Marvel,6.9,7,2019,64,45,79
Avengers: Infinity War,8.4,8,2018,68,91,85
Avengers: Endgame,8.4,8,2019,78,90,94
Harry Potter and the Half-Blood Prince,7.6,8,2009,78,78,84
The Gift,7,8,2015,62,75,91
Transformers,7,4,2007,61,85,58
The Curious Case of Benjamin Button,7.8,8,2008,70,80,71
Victoria,7.6,7,2015,77,83,82
Hot Fuzz,7.8,8,2007,81,89,91
Lucky Number Slevin,7.7,8,2006,53,87,51
El método,7.2,7,2005,68,,
The Founder,7.2,8,2016,66,82,81
Thank You for Smoking,7.6,7,2005,71,87,86
Kubo and the Two Strings,7.8,7,2016,84,86,97
Just Friends,6.2,6,2005,47,71,42
Toy Story 3,8.2,9,2010,92,90,98
Ice Age: The Meltdown,6.8,6,2006,60,71,57
Strangers on a Train,7.9,6,1951,88,92,98
Zodiac,7.7,7,2007,78,77,89
Hancock,6.4,6,2008,49,59,41
Little Miss Sunshine,7.8,7,2006,80,91,91
Pirates of the Caribbean: At World's End,7.1,7,2007,50,72,44
